name, desc, gmina, powiat, wojew
Abisynia,część wsi Wiele,Karsin,kościerski,pomorskie
Abisynia Górska,część wsi Górki,Karsin,kościerski,pomorskie
Abramowice Kościelne,wieś,Głusk,lubelski,lubelskie
Abramówka,część wsi Wólka Cycowska,Cyców,łęczyński,lubelskie
Adama,część wsi Boczkowice,Książ Wielki,miechowski,małopolskie
Adamczykowa Rola,część wsi Lipnica Mała,Jabłonka,nowotarski,małopolskie
Adaminowo,wieś,Włocławek,włocławski,kujawsko-pomorskie
Adamki,część wsi Biała,Radzyń Podlaski,radzyński,lubelskie
Adamki,część wsi Międzybrodzie Bialskie,Czernichów,żywiecki,śląskie
Adamowa,część wsi Wieprzec,Maków Podhalański,suski,małopolskie
Adamowice,wieś,Mszczonów,żyrardowski,mazowieckie
Adamowo,wieś,Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie
Adamowo,część wsi Chrcynno,Nasielsk,nowodworski,mazowieckie
Adamowo,wieś,Bieżuń,żuromiński,mazowieckie
Adamowo,część wsi Jeńki,Sokoły,wysokomazowiecki,podlaskie
Adamowo,wieś,Biskupiec,olsztyński,warmińsko-mazurskie
Adamowo-Dozin,część wsi Adamowo,Długosiodło,wyszkowski,mazowieckie
Adamów,wieś,Cyców,łęczyński,lubelskie
Adamów,wieś,Brzeziny,brzeziński,łódzkie
Adamów,wieś,Opoczno,opoczyński,łódzkie
Adamów,wieś,Wolbórz,piotrkowski,łódzkie
Adamów,wieś,Budziszewice,tomaszowski,łódzkie
Adamów,część wsi Dziecinów,Grabów nad Pilicą,kozienicki,mazowieckie
Adamów,wieś,Wierzbno,węgrowski,mazowieckie
Adamów,wieś,Lipnik,opatowski,świętokrzyskie
Adamów Drwalewski,wieś,Chynów,grójecki,mazowieckie
Adamówek,część wsi Russówek,Żelazków,kaliski,wielkopolskie
Adamówka,przysiółek wsi Tuczempy,Jarosław,jarosławski,podkarpackie
Adamów-Kolonia,część wsi Adamów,Adamów,zamojski,lubelskie
Adamów-Wieś,wieś,Radziejowice,żyrardowski,mazowieckie
Adampol,wieś,Korytnica,węgrowski,mazowieckie
Adelin,wieś,Zabrodzie,wyszkowski,mazowieckie
Adelinów,wieś,Sulejów,piotrkowski,łódzkie
Adolfin,przysiółek wsi Grojec,Oświęcim,oświęcimski,małopolskie
Adolfowo,wieś,Rakoniewice,grodziski,wielkopolskie
Adrianka,część wsi Nowy Dwór Bratiański,Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie
Agatówka,wieś,Zaleszany,stalowowolski,podkarpackie
Agnieszkowo-Krzyżówki,przysiółek wsi Agnieszkowo,Szczutowo,sierpecki,mazowieckie
Aksamitowizna,część wsi Romanówka,Przerośl,suwalski,podlaskie
Albertowo,część wsi Księżyno,Juchnowiec Kościelny,białostocki,podlaskie
Albertów,wieś,Lubochnia,tomaszowski,łódzkie
Albertów-Cegielnia,część wsi Słupia pod Kępnem,Baranów,kępiński,wielkopolskie
Albinów,wieś,Kotuń,siedlecki,mazowieckie
Albrechtówka,część miasta Kazimierz Dolny,Kazimierz Dolny,puławski,lubelskie
Aleksandria,część wsi Gruszczyce,Błaszki,sieradzki,łódzkie
Aleksandria,wieś,Brzeziny,kaliski,wielkopolskie
Aleksandrowice,wieś,Wińsko,wołowski,dolnośląskie
Aleksandrowo,kolonia,Lipno,lipnowski,kujawsko-pomorskie
Aleksandrowo,przysiółek wsi Unierzyż,Strzegowo,mławski,mazowieckie
Aleksandrowo,przysiółek,Chorzele,przasnyski,mazowieckie
Aleksandrowo,wieś,Bakałarzewo,suwalski,podlaskie
Aleksandrowo,osada,Międzychód,międzychodzki,wielkopolskie
Aleksandrów,wieś,Aleksandrów,biłgorajski,lubelskie
Aleksandrów,wieś,Rusiec,bełchatowski,łódzkie
Aleksandrów,wieś,Kamieńsk,radomszczański,łódzkie
Aleksandrów,część kolonii Antonin,Górzno,garwoliński,mazowieckie
Aleksandrów,wieś,Nieporęt,legionowski,mazowieckie
Aleksandrów,wieś,Czosnów,nowodworski,mazowieckie
Aleksandrów,wieś,Iłów,sochaczewski,mazowieckie
Aleksandrów,wieś,Praszka,oleski,opolskie
Aleksandrów,wieś,Sędziszów,jędrzejowski,świętokrzyskie
Aleksandrów,osada,Nowe Miasto nad Wartą,średzki,wielkopolskie
Aleksandrów Drugi,część miasta Warszawa,Warszawa,Warszawa,mazowieckie
Aleksandrów Pierwszy,część wsi Aleksandrów,Aleksandrów,biłgorajski,lubelskie
Aleksandrówek,część miasta Aleksandrów Kujawski,Aleksandrów Kujawski m,aleksandrowski,kujawsko-pomorskie
Aleksandrówek,wieś,Poddębice,poddębicki,łódzkie
Aleksandrówka,część wsi Romaszki,Rossosz,bialski,lubelskie
Aleksandrówka,wieś,Stoczek Łukowski,łukowski,lubelskie
