name, desc, gmina, powiat, wojew
Abisynia,kolonia wsi Droblin,Leśna Podlaska,bialski,lubelskie
Abisynia,część miasta Starachowice,Starachowice,starachowicki,świętokrzyskie
Abramowice,część miasta Lublin,Lublin,Lublin,lubelskie
Abramów,wieś,Abramów,lubartowski,lubelskie
Abramy,wieś,Kałuszyn,miński,mazowieckie
Adamczycha,wieś,Baranowo,ostrołęcki,mazowieckie
Adamierz,wieś,Zagórów,słupecki,wielkopolskie
Adamka,część wsi Łęg Starościński,Lelis,ostrołęcki,mazowieckie
Adamki,część wsi Czarnożyły,Czarnożyły,wieluński,łódzkie
Adamkówka,część wsi Budzów,Budzów,suski,małopolskie
Adamowice,wieś,Kutno,kutnowski,łódzkie
Adamowizna,wieś,Grodzisk Mazowiecki,grodziski,mazowieckie
Adamowo,wieś,Czerwonka,makowski,mazowieckie
Adamowo,wieś,Mochowo,sierpecki,mazowieckie
Adamowo,część wsi Litwinki,Kuźnica,sokólski,podlaskie
Adamowo,wieś,Elbląg,elbląski,warmińsko-mazurskie
Adamowo,część wsi Krzycko Wielkie,Włoszakowice,leszczyński,wielkopolskie
Adamowo-Zastawa,wieś,Mielnik,siemiatycki,podlaskie
Adamów,kolonia,Bełchatów,bełchatowski,łódzkie
Adamów,część wsi Janów,Oporów,kutnowski,łódzkie
Adamów,część wsi Strzelce Wielkie,Strzelce Wielkie,pajęczański,łódzkie
Adamów,wieś,Nowy Kawęczyn,skierniewicki,łódzkie
Adamów,wieś,Grodzisk Mazowiecki,grodziski,mazowieckie
Adamów,wieś,Gózd,radomski,mazowieckie
Adamów,osada leśna,Poczesna,częstochowski,śląskie
Adamów,wieś,Golina,koniński,wielkopolskie
Adamówek,wieś,Czosnów,nowodworski,mazowieckie
Adamówka,część wsi Wola Karczewska,Wiązowna,otwocki,mazowieckie
Adamówka,osada leśna,Rytwiany,staszowski,świętokrzyskie
Adamów-Kolonia,część wsi Adamów,Krzymów,koniński,wielkopolskie
Adampol,osada,Wyryki,włodawski,lubelskie
Adamy,przysiółek wsi Łętowe,Mszana Dolna,limanowski,małopolskie
Adelina,wieś,Werbkowice,hrubieszowski,lubelskie
Adolfin,część wsi Kolonia Bodzanowska,Zakrzewo,aleksandrowski,kujawsko-pomorskie
Adolfowo,część wsi Bojanowo,Radzanów,mławski,mazowieckie
Adolfów,wieś,Ceranów,sokołowski,mazowieckie
Agatówka,osada leśna,Gościeradów,kraśnicki,lubelskie
Agnieszkowo,przysiółek wsi Zgliczyn Witowy,Radzanów,mławski,mazowieckie
Agrafinówka,wieś,Filipów,suwalski,podlaskie
Akwizgran,wieś,Strawczyn,kielecki,świętokrzyskie
Albertów,wieś,Puchaczów,łęczyński,lubelskie
Albertów,część wsi Baranów,Baranów,kępiński,wielkopolskie
Albigowa,wieś,Łańcut,łańcucki,podkarpackie
Albinów Duży,wieś,Goraj,biłgorajski,lubelskie
Aleja Czaniecka,część wsi Czaniec,Porąbka,bielski,śląskie
Aleksandria,wieś,Puszcza Mariańska,żyrardowski,mazowieckie
Aleksandria Niedziałowska,wieś,Rejowiec,chełmski,lubelskie
Aleksandrowiec,osada leśna,Dobrcz,bydgoski,kujawsko-pomorskie
Aleksandrowo,wieś,Barcin,żniński,kujawsko-pomorskie
Aleksandrowo,wieś,Troszyn,ostrołęcki,mazowieckie
Aleksandrowo,wieś,Krasnopol,sejneński,podlaskie
Aleksandrowo,osada,Gostyń,gostyński,wielkopolskie
Aleksandrów,część wsi Kołczyn,Rokitno,bialski,lubelskie
Aleksandrów,wieś,Stanin,łukowski,lubelskie
Aleksandrów,wieś,Aleksandrów,piotrkowski,łódzkie
Aleksandrów,część wsi Kromolin Stary,Szadek,zduńskowolski,łódzkie
Aleksandrów,wieś,Pniewy,grójecki,mazowieckie
Aleksandrów,wieś,Sienno,lipski,mazowieckie
Aleksandrów,część wsi Nowy Prażmów,Prażmów,piaseczyński,mazowieckie
Aleksandrów,część miasta Radzymin,Radzymin,wołomiński,mazowieckie
Aleksandrów,wieś,Panki,kłobucki,śląskie
Aleksandrów,wieś,Mycielin,kaliski,wielkopolskie
Aleksandrów Drugi,część wsi Aleksandrów,Aleksandrów,biłgorajski,lubelskie
Aleksandrów Kujawski,miasto,Aleksandrów Kujawski m,aleksandrowski,kujawsko-pomorskie
Aleksandrów Trzeci,część wsi Aleksandrów,Aleksandrów,biłgorajski,lubelskie
Aleksandrówek,wieś,Grabów,łęczycki,łódzkie
Aleksandrówka,część wsi Michałówka,Biała Podlaska,bialski,lubelskie
Aleksandrówka,wieś,Batorz,janowski,lubelskie
Aleksandrówka,wieś,Dalików,poddębicki,łódzkie
Aleksandrówka,wieś,Kozienice,kozienicki,mazowieckie
Aleksandrówka,kolonia,Krynki,sokólski,podlaskie
Aleksandrówka,wieś,Koło,kolski,wielkopolskie
Alfonsowo,wieś,Jasieniec,grójecki,mazowieckie
Alfredów,część wsi Rozwady,Gielniów,przysuski,mazowieckie
Alojzów,wieś,Leśniowice,chełmski,lubelskie
Altain,część wsi Baciki Bliższe,Siemiatycze,siemiatycki,podlaskie
Alwernia,miasto,Alwernia,chrzanowski,małopolskie
Ambrożów,wieś,Pawłów,starachowicki,świętokrzyskie
