name, desc, gmina, powiat, wojew
Abisynia,część wsi Turzyn,Kcynia,nakielski,kujawsko-pomorskie
Abisynia,osada,Karsin,kościerski,pomorskie
Abram,część wsi Tychów,Czarnocin,piotrkowski,łódzkie
Abramowice Prywatne,wieś,Głusk,lubelski,lubelskie
Abramówka,część wsi Ciszyca Górna,Tarłów,opatowski,świętokrzyskie
Adamcowa ,część wsi Skomielna Biała,Lubień,myślenicki,małopolskie
Adamek,wieś,Stąporków,konecki,świętokrzyskie
Adaminów,część wsi Bierwce,Jedlińsk,radomski,mazowieckie
Adamki,kolonia wsi Okuninka,Włodawa,włodawski,lubelskie
Adamki,część wsi Pewel Wielka,Jeleśnia,żywiecki,śląskie
Adamowa Góra,wieś,Młodzieszyn,sochaczewski,mazowieckie
Adamowice,część miasta Strzelce Opolskie,Strzelce Opolskie,strzelecki,opolskie
Adamowo,wieś,Chrostkowo,lipnowski,kujawsko-pomorskie
Adamowo,wieś,Joniec,płoński,mazowieckie
Adamowo,część wsi Stare Guty,Szczuczyn,grajewski,podlaskie
Adamowo,wieś,Stary Dzierzgoń,sztumski,pomorskie
Adamowo,wieś,Kleczew,koniński,wielkopolskie
Adamowo-Leśnictwo,osada leśna,Więcbork,sępoleński,kujawsko-pomorskie
Adamów,wieś,Adamów,łukowski,lubelskie
Adamów,część wsi Kręcieszki,Bedlno,kutnowski,łódzkie
Adamów,wieś,Paradyż,opoczyński,łódzkie
Adamów,wieś,Poddębice,poddębicki,łódzkie
Adamów,wieś,Promna,białobrzeski,mazowieckie
Adamów,wieś,Sienno,lipski,mazowieckie
Adamów,wieś,Kłomnice,częstochowski,śląskie
Adamów,wieś,Opatów,opatowski,świętokrzyskie
Adamów Rososki,wieś,Chynów,grójecki,mazowieckie
Adamówka,część wsi Wronowice,Werbkowice,hrubieszowski,lubelskie
Adamówka,wieś,Adamówka,przeworski,podkarpackie
Adamów-Kolonia,część wsi Adamów,Kłomnice,częstochowski,śląskie
Adampol,część miasta Świdnik,Świdnik,świdnicki,lubelskie
Adampol,wieś,Jadów,wołomiński,mazowieckie
Adelin,część wsi Podlaski,Sejny,sejneński,podlaskie
Adelinów,kolonia,Fałków,konecki,świętokrzyskie
Adolfin,wieś,Pionki,radomski,mazowieckie
Adolfów,część wsi Chorzeszów,Wodzierady,łaski,łódzkie
Adwokatowo,część wsi Niewodnica Kościelna,Turośń Kościelna,białostocki,podlaskie
Agnieszczyn,osada,Krapkowice,krapkowicki,opolskie
Agnieszków,część wsi Ksawerów,Koźminek,kaliski,wielkopolskie
Aksamity,część miasta Mszana Dolna,Mszana Dolna m,limanowski,małopolskie
Albertowo,część wsi Morawy,Gardeja,kwidzyński,pomorskie
Albertów,wieś,Rokiciny,tomaszowski,łódzkie
Albertów-Folwark,część wsi Słupia pod Kępnem,Baranów,kępiński,wielkopolskie
Albinów,wieś,Kosów Lacki,sokołowski,mazowieckie
Alej Borowa,część wsi Kaniów,Bestwina,bielski,śląskie
Aleksandria,wieś,Ozorków,zgierski,łódzkie
Aleksandria Druga,część wsi Aleksandria,Konopiska,częstochowski,śląskie
Aleksandrowice,wieś,Zabierzów,krakowski,małopolskie
Aleksandrowo,kolonia wsi Kornelin,Szubin,nakielski,kujawsko-pomorskie
Aleksandrowo,kolonia wsi Cegielnia Psucka,Nasielsk,nowodworski,mazowieckie
Aleksandrowo,część wsi Nowa Wieś,Rząśnik,wyszkowski,mazowieckie
Aleksandrowo,kolonia,Orzysz,piski,warmińsko-mazurskie
Aleksandrowo,część wsi Popowo,Wronki,szamotulski,wielkopolskie
Aleksandrów,wieś,Gościeradów,kraśnicki,lubelskie
Aleksandrów,wieś,Strzelce,kutnowski,łódzkie
Aleksandrów,wieś,Biała Rawska,rawski,łódzkie
Aleksandrów,wieś,Łaskarzew,garwoliński,mazowieckie
Aleksandrów,przysiółek wsi Stary Rzechów,Rzeczniów,lipski,mazowieckie
Aleksandrów,wieś,Góra Kalwaria,piaseczyński,mazowieckie
