name, desc, gmina, powiat, wojew
Andziółówka,część wsi Istebna,Istebna,cieszyński,śląskie
Anielewo,kolonia,Bobrowo,brodnicki,kujawsko-pomorskie
Anielin,wieś,Boniewo,włocławski,kujawsko-pomorskie
Anielin,wieś,Łask,łaski,łódzkie
Anielin,część wsi Garnowo Duże,Gołymin-Ośrodek,ciechanowski,mazowieckie
Anielin,część miasta Karczew,Karczew,otwocki,mazowieckie
Anielin,część wsi Pępowo,Pępowo,gostyński,wielkopolskie
Anielin Swędowski,wieś,Stryków,zgierski,łódzkie
Anieliny,wieś,Sadki,nakielski,kujawsko-pomorskie
Anielówka,wieś,Michów,lubartowski,lubelskie
Aniołka Druga,osada,Trzcinica,kępiński,wielkopolskie
Aniołowie,część wsi Groń,Bukowina Tatrzańska,tatrzański,małopolskie
Anna,część miasta Dąbrowa Górnicza,Dąbrowa Górnicza,Dąbrowa Górnicza,śląskie
Annobór,wieś,Lubartów,lubartowski,lubelskie
Annopol,kolonia,Żmudź,chełmski,lubelskie
Annopol,część wsi Ruda Talubska,Garwolin,garwoliński,mazowieckie
Annopol,część miasta Warszawa,Warszawa,Warszawa,mazowieckie
Annopol,osada,Miejska Górka,rawicki,wielkopolskie
Annopole Nowe,wieś,Zduńska Wola,zduńskowolski,łódzkie
Annowo,wieś,Gąsawa,żniński,kujawsko-pomorskie
Annów,wieś,Zadzim,poddębicki,łódzkie
Annówka,wieś,Mycielin,kaliski,wielkopolskie
Antałówka,część miasta Zakopane,Zakopane,tatrzański,małopolskie
Antolin,wieś,Budziszewice,tomaszowski,łódzkie
Antonia,wieś,Rozogi,szczycieński,warmińsko-mazurskie
Antoniew,wieś,Bedlno,kutnowski,łódzkie
Antoniew,wieś,Aleksandrów Łódzki,zgierski,łódzkie
Antoniewice,kolonia,Trzcińsko-Zdrój,gryfiński,zachodniopomorskie
Antoniewo,część wsi Ruda,Rogowo,rypiński,kujawsko-pomorskie
Antoniewo,część wsi Nowe Dąbie,Łabiszyn,żniński,kujawsko-pomorskie
Antoniewo,wieś,Brusy,chojnicki,pomorskie
Antoniewo,osada,Skoki,wągrowiecki,wielkopolskie
Antoniki,wieś,Lubaczów,lubaczowski,podkarpackie
Antonin,część wsi Branica Radzyńska,Radzyń Podlaski,radzyński,lubelskie
Antonin,wieś,Ciechanowiec,wysokomazowiecki,podlaskie
Antonin,wieś,Oborniki,obornicki,wielkopolskie
Antonin,przysiółek wsi Miąskowo,Krzykosy,średzki,wielkopolskie
Antonina,wieś,Jakubów,miński,mazowieckie
Antoninów,wieś,Sławno,opoczyński,łódzkie
Antoninów,wieś,Łąck,płocki,mazowieckie
Antoniowiec,część miasta Chorzów,Chorzów,Chorzów,śląskie
Antoniów,wieś,Kodrąb,radomszczański,łódzkie
Antoniów,część wsi Wielogóra,Jedlińsk,radomski,mazowieckie
Antoniów,osada leśna,Kłomnice,częstochowski,śląskie
Antoniów,osada,Raków,kielecki,świętokrzyskie
Antoniów Mały,część wsi Antoniów,Bałtów,ostrowiecki,świętokrzyskie
Antoniówka,wieś,Wysokie,lubelski,lubelskie
Antoniówka,wieś,Sławno,opoczyński,łódzkie
Antoniówka Świerżowska,wieś,Maciejowice,garwoliński,mazowieckie
Antonowo,osada leśna,Brok,ostrowski,mazowieckie
Antonówka,część miasta Hrubieszów,Hrubieszów m,hrubieszowski,lubelskie
Antonówki,część miasta Tuszyn,Tuszyn,łódzki wschodni,łódzkie
Antosin,wieś,Rybno,sochaczewski,mazowieckie
Anusin,wieś,Piotrków Kujawski,radziejowski,kujawsko-pomorskie
Anusin,część wsi Marzęcice,Strzelce Wielkie,pajęczański,łódzkie
Anusin,część wsi Rzęszkowo,Wyrzysk,pilski,wielkopolskie
Apolinów,wieś,Bełchatów,bełchatowski,łódzkie
Apostoły,część wsi Śmieszkowo,Czarnków,czarnkowsko-trzcianecki,wielkopolskie
Archaniołów,część wsi Łączkowice,Masłowice,radomszczański,łódzkie
Arciechówek,wieś,Iłów,sochaczewski,mazowieckie
Arenda,część wsi Bukowina,Biszcza,biłgorajski,lubelskie
Argentyna,część wsi Dubeczno,Hańsk,włodawski,lubelskie
Arkadia-Parcela,część wsi Arkadia,Nieborów,łowicki,łódzkie
Arłamów,osada,Ustrzyki Dolne,bieszczadzki,podkarpackie
Artych,część miasta Łosice,Łosice,łosicki,mazowieckie
Aszkarówka,część wsi Lubatowa,Iwonicz-Zdrój,krośnieński,podkarpackie
Audyniszki,wieś,Banie Mazurskie,gołdapski,warmińsko-mazurskie
Augustowo,wieś,Barcin,żniński,kujawsko-pomorskie
Augustowo,osada,Dźwierzuty,szczycieński,warmińsko-mazurskie
Augustów,osada,Wądroże Wielkie,jaworski,dolnośląskie
Augustów,wieś,Rząśnia,pajęczański,łódzkie
Augustów,wieś,Pionki,radomski,mazowieckie
Augustówek,część miasta Warszawa,Warszawa,Warszawa,mazowieckie
Augustówka,część wsi Górkowo,Kolno,olsztyński,warmińsko-mazurskie
Augustynowo,wieś,Izbica Kujawska,włocławski,kujawsko-pomorskie
Augustynów,część wsi Swojczany,Charsznica,miechowski,małopolskie
Auguścin,wieś,Wyrzysk,pilski,wielkopolskie
Awajki,wieś,Pasłęk,elbląski,warmińsko-mazurskie
Azory,część miasta Kraków,Kraków,Kraków,małopolskie
Baba,część wsi Wola Pawłowska,Solec nad Wisłą,lipski,mazowieckie
Babcówka,część wsi Kuków,Stryszawa,suski,małopolskie
Babi Dół,część wsi Stara Zagość,Pińczów,pińczowski,świętokrzyskie
Babia,część wsi Sławęcin,Skołyszyn,jasielski,podkarpackie
Babia Góra,część wsi Kłodne,Limanowa,limanowski,małopolskie
Babia Góra,część wsi Nowiny,Kozienice,kozienicki,mazowieckie
Babia Góra,część wsi Łazy,Jasienica,bielski,śląskie
Babiak,kolonia,Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie
Babiaki,część wsi Charytany,Laszki,jarosławski,podkarpackie
Babiarze,część wsi Stryszawa,Stryszawa,suski,małopolskie
Babica,wieś,Wadowice,wadowicki,małopolskie
Babice,wieś,Babice,chrzanowski,małopolskie
Babice,wieś,Baborów,głubczycki,opolskie
Babice Nowe,wieś,Stare Babice,warszawski zachodni,mazowieckie
Babidół,wieś,Kolbudy,gdański,pomorskie
Babie Laski,część wsi Majdan Golczański,Jarocin,niżański,podkarpackie
Babiec-Więczanki,wieś,Rościszewo,sierpecki,mazowieckie
Babięta,wieś,Piecki,mrągowski,warmińsko-mazurskie
Babigóra,część wsi Lutoryż,Boguchwała,rzeszowski,podkarpackie
Babilon,część wsi Kończyce Wielkie,Hażlach,cieszyński,śląskie
Babin,wieś,Przyłęk,zwoleński,mazowieckie
Babin,część miasta Szczecin,Szczecin,Szczecin,zachodniopomorskie
Babiniec,kolonia,Szadek,zduńskowolski,łódzkie
Babiniec,część wsi Torzeniec,Doruchów,ostrzeszowski,wielkopolskie
Babińskie,część wsi Końskie,Dydnia,brzozowski,podkarpackie
Babki,osada,Gołdap,gołdapski,warmińsko-mazurskie
Babkowizna,część wsi Beszyn,Lubień Kujawski,włocławski,kujawsko-pomorskie
Baboszewo,wieś,Baboszewo,płoński,mazowieckie
Babska,część wsi Bieńkówka,Chełmno,chełmiński,kujawsko-pomorskie
Babule,wieś,Padew Narodowa,mielecki,podkarpackie
Baby,część wsi Gruszczyce,Błaszki,sieradzki,łódzkie
Baby,część wsi Czekanów,Ostrów Wielkopolski,ostrowski,wielkopolskie
Bachledówka,część miasta Zakopane,Zakopane,tatrzański,małopolskie
Bachnatowa,część wsi Bystra,Bystra-Sidzina,suski,małopolskie
Bachorza,wieś,Zakrzewo,aleksandrowski,kujawsko-pomorskie
Bachorza,osada,Ryn,giżycki,warmińsko-mazurskie
Bachorzew,osada leśna,Jarocin,jarociński,wielkopolskie
Bachorzówka,część wsi Stryszawa,Stryszawa,suski,małopolskie
Bachórka,część wsi Kryńsk,Bądkowo,aleksandrowski,kujawsko-pomorskie
Bachówki,część wsi Koszyce Wielkie,Tarnów,tarnowski,małopolskie
Bachus,kolonia,Sawin,chełmski,lubelskie
Baciki Średnie,wieś,Siemiatycze,siemiatycki,podlaskie
Bacowie,część wsi Zembrzyce,Zembrzyce,suski,małopolskie
Bacze,wieś,Opinogóra Górna,ciechanowski,mazowieckie
Baczki,wieś,Repki,sokołowski,mazowieckie
Baczyn,przysiółek wsi Mników,Liszki,krakowski,małopolskie
Baczyna-Kolonia,kolonia,Lubiszyn,gorzowski,lubuskie
Badowo-Dańki,wieś,Mszczonów,żyrardowski,mazowieckie
Badunia,część wsi Wólka Panieńska,Zamość,zamojski,lubelskie
Bagatele,wieś,Wąsewo,ostrowski,mazowieckie
Bagielnica,część wsi Będargowo,Szemud,wejherowski,pomorskie
Bagienice,część wsi Stare Kiełcze,Kolno,kolneński,podlaskie
Bagienice Małe,wieś,Mrągowo,mrągowski,warmińsko-mazurskie
Bagienice-Pagórki,część wsi Bagienice Szlacheckie,Krasnosielc,makowski,mazowieckie
Bagienki,część miasta Skawina,Skawina,krakowski,małopolskie
Bagienko,część miasta Jaworzno,Jaworzno,Jaworzno,śląskie
Bagieńsko,wieś,Miłomłyn,ostródzki,warmińsko-mazurskie
Bagna,część wsi Dobrociesz,Iwkowa,brzeski,małopolskie
Bagna,część wsi Ochaby Małe,Skoczów,cieszyński,śląskie
Bagniewko,wieś,Pruszcz,świecki,kujawsko-pomorskie
Bagnisko,część wsi Babin,Przyłęk,zwoleński,mazowieckie
Bagno,wieś,Lubień Kujawski,włocławski,kujawsko-pomorskie
Bagno,część wsi Podlodówek,Michów,lubartowski,lubelskie
Bagno,część wsi Borzęcin,Borzęcin,brzeski,małopolskie
Bagno,część wsi Cieślin,Klucze,olkuski,małopolskie
Bagno,osada leśna,Jabłonna,legionowski,mazowieckie
Bagno,przysiółek wsi Dąbrówka,Ulanów,niżański,podkarpackie
Bagno,część miasta Bielsko-Biała,Bielsko-Biała,Bielsko-Biała,śląskie
Bagno,osada leśna,Nowe Miasto Lubawskie,nowomiejski,warmińsko-mazurskie
Bagno na Górkach,część miasta Brzesko,Brzesko,brzeski,małopolskie
Bagrowo,osada,Dominowo,średzki,wielkopolskie
Bajdów,część wsi Cerekiew,Bochnia,bocheński,małopolskie
Baje,część wsi Dołhobrody,Hanna,włodawski,lubelskie
Bajerówka,część miasta Żory,Żory,Żory,śląskie
Bajor,część wsi Mrowla,Świlcza,rzeszowski,podkarpackie
Bajorki,część wsi Glinik Górny,Frysztak,strzyżowski,podkarpackie
Bajory,część wsi Lanckorona,Lanckorona,wadowicki,małopolskie
Bajtkówka,część wsi Kamesznica,Milówka,żywiecki,śląskie
Bakończyce,część miasta Przemyśl,Przemyśl m,Przemyśl,podkarpackie
Balachówka,część wsi Zakrzów,Niepołomice,wielicki,małopolskie
Balcarzowice,wieś,Ujazd,strzelecki,opolskie
Balcery,część wsi Kury,Tłuszcz,wołomiński,mazowieckie
Baldram,wieś,Kwidzyn,kwidzyński,pomorskie
Balewko,osada,Mikołajki Pomorskie,sztumski,pomorskie
Balice,część wsi Wiśniowa,Wiśniowa,strzyżowski,podkarpackie
Baliki,wieś,Nowogród,łomżyński,podlaskie
Balin,wieś,Chrzanów,chrzanowski,małopolskie
Balków,wieś,Piątek,łęczycki,łódzkie
Balowo,część wsi Stróża,Pcim,myślenicki,małopolskie
Bałamącek,osada,Odolanów,ostrowski,wielkopolskie
Bałąg,wieś,Jonkowo,olsztyński,warmińsko-mazurskie
Bałdowo,wieś,Tczew,tczewski,pomorskie
Bałkan,część wsi Mazańcowice,Jasienica,bielski,śląskie
Bałków,wieś,Radków,włoszczowski,świętokrzyskie
Bałowo,osada,Kętrzyn,kętrzyński,warmińsko-mazurskie
Bałtrucie,osada,Kętrzyn,kętrzyński,warmińsko-mazurskie
Bałuty,część wsi Gusin,Świnice Warckie,łęczycki,łódzkie
Banach,przysiółek wsi Zarzecze,Łącko,nowosądecki,małopolskie
Banachy,część wsi Biczyce Dolne,Chełmiec,nowosądecki,małopolskie
Banasie,część wsi Lachowice,Stryszawa,suski,małopolskie
Banasiówka,część wsi Spytkowice,Spytkowice,nowotarski,małopolskie
Banasiówka Górna,część wsi Żarnówka,Maków Podhalański,suski,małopolskie
Bandlów,część wsi Zgorzelec,Rychtal,kępiński,wielkopolskie
Bania,część wsi Stanisławice,Bochnia,bocheński,małopolskie
Bania,część wsi Siekierczyna,Limanowa,limanowski,małopolskie
Bania,część wsi Kamionka Wielka,Kamionka Wielka,nowosądecki,małopolskie
Bania,część wsi Raciborsko,Wieliczka,wielicki,małopolskie
Bania,część wsi Ulanica,Dynów,rzeszowski,podkarpackie
Bania,część wsi Durdy,Baranów Sandomierski,tarnobrzeski,podkarpackie
Banica,przysiółek wsi Krzywa,Sękowa,gorlicki,małopolskie
Banie,wieś,Banie,gryfiński,zachodniopomorskie
Baniki,część wsi Lubomierz,Mszana Dolna,limanowski,małopolskie
Baniówka,część wsi Baczyn,Budzów,suski,małopolskie
Bankowe,część wsi Wielkopole,Urszulin,włodawski,lubelskie
Banówka,część wsi Jaszczurowa,Mucharz,wadowicki,małopolskie
Bańcerówka,część wsi Łętownia,Jordanów,suski,małopolskie
Bańka,część wsi Grobla,Drwinia,bocheński,małopolskie
Bańkówka,część wsi Raba Niżna,Mszana Dolna,limanowski,małopolskie
Barabaszówka,przysiółek wsi Moszyny,Bogoria,staszowski,świętokrzyskie
Barak,przysiółek wsi Sorbin,Bliżyn,skarżyski,świętokrzyskie
Baraki,wieś,Zakrzew,lubelski,lubelskie
Baraki,przysiółek wsi Rakoszyn,Nagłowice,jędrzejowski,świętokrzyskie
Baran,wieś,Firlej,lubartowski,lubelskie
Baran,osada,Krotoszyn,krotoszyński,wielkopolskie
Barani Kąt,część wsi Strzakły,Międzyrzec Podlaski,bialski,lubelskie
Barania Ruda,osada leśna,Mrozy,miński,mazowieckie
Baranicha,osada,Łaskarzew,garwoliński,mazowieckie
Baraniec,część miasta Bieruń,Bieruń,bieruńsko-lędziński,śląskie
Baranizna,część wsi Bielany,Kęty,oświęcimski,małopolskie
